HARNESS                              PASSED   FAILED   EXIT
----------------------------------------------------------------
ai_leasing_strategy_visible.test.js       10        0      0
application_excluded_targets.browser.test.js        7        0      0
application_offer_review_app.test.js       15        0      0
application_offer_review_dom.test.js       19        0      0
application_prospect_context_dom.test.js        8        0      0
application_send_retry.test.js            5        0      0
application_target_app.test.js           32        0      0
application_target_dates_dom.test.js        6        0      0
application_terms_revision_dom.test.js       12        0      0
ask_spine_dashboard_convergence.test.js       58        0      0
authoritative_property_context_proof.test.js        9        0      0
authorization_gate_proof.test.js         35        0      0
availability_cutover_app.test.js         71        0      0
canonical_onboarding_counts.test.js       29        0      0
canonical_onboarding_review_app.test.js       51        0      0
canonical_onboarding_summary.test.js        4        0      0
closeout_surface_reachability.test.js       24        0      0
compliance_operating_register.test.js       26        0      0
contracted_services_door.test.js         42        0      0
conversation_owner_overview.test.js       24        0      0
conversation_owner_wording.test.js       37        0      0
conversation_tour_booking.test.js        20        0      0
conversations_board_age.browser.test.js        4        0      0
conversations_board_app.test.js          22        0      0
debt_door.test.js                        17        0      0
equity_door.test.js                      21        0      0
external_email_reply.test.js             86        0      0
harness_reporting.test.js                29        0      0
inline_js_syntax.test.js                 46        0      0
landing_asset_management_door.test.js       12        0      0
lease_configuration_app.test.js          12        0      0
lease_execution_app.test.js              13        0      0
leasing_home_tours_focus.test.js         17        0      0
leasing_home_truth_proof.test.js         47        0      0
legacy_initial_refusal.test.js           12        0      0
live_first_safety_proof.test.js           9        0      0
maintenance_home_proof.test.js          141        0      0
manual_application_review.test.js        84        0      0
moveout_entry_proof.test.js              15        0      0
no_operator_completion_proof.test.js       17        0      0
operations_line_admin_boundary.test.js        1        0      0
page_identity_proof.test.js              35        0      0
person_card_outcome.browser.test.js        6        0      0
person_card_repo.test.js                 21        0      0
person_card_signal.test.js               24        0      0
post_tour_capture_flow.test.js           18        0      0
proof_normalizer_contract.test.js       167        0      0
renewals_r1_app.test.js                  30        0      0
rent_roll_cutover_app.test.js           152        0      0
rent_roll_row_semantics.test.js          37        0      0
rent_roll_server_classification.test.js       73        0      0
s4_leasing_work_door_proof.test.js       18        0      0
s5_application_records_proof.test.js       19        0      0
shared_application_review.test.js        12        0      0
shared_frame_proof.test.js               46        0      0
team_access_live_boundary.test.js         1        0      0
team_invite_live_session.test.js         14        0      0
tour_times_app.test.js                   21        0      0
turn_experience_proof.test.js           187        0      0
turn_priority_live.browser.test.js       12        0      0
turn_scope_identity_app.test.js           7        0      0
utilities_door.test.js                   47        0      0
who_line_agreement.test.js               20        0      0
work_order_banding_contract.test.js       34        0      0
work_scope_identity_app.test.js           6        0      0
----------------------------------------------------------------
65 harnesses · 2156 passed · 0 failed · 0 red
suite green.
